entity_num,alt_num,alt_type,alt_name,alt_remarks
17013,26075.0,fka,BANK VNESHNEY TORGOVLI OPEN JOINT STOCK COMPANY,-0- 
17013,26076.0,fka,BANK VNESHNEY TORGOVLI JOINT STOCK COMPANY,-0- 
17013,26077.0,fka,BANK VNESHNEI TORGOVLI RSFSR,-0- 
17013,26078.0,fka,BANK VNESHNEY TORGOVLI ROSSIYSKOY FEDERATSII CLOSED JOINT STOCK COMPANY,-0- 
17013,26079.0,fka,VNESHTORGBANK ROSSII CLOSED JOINT STOCK COMPANY,-0- 
17013,26081.0,fka,BANK VTB OAO,-0- 
17013,54895.0,aka,VTB BANK PAO,-0- 
17013,54896.0,fka,VTB BANK OAO,-0- 
17013,54900.0,aka,VTB BANK PJSC,-0- 
17013,54902.0,aka,BANK VTB PUBLICHNOE AKTSIONERNOE OBSHCHESTVO,-0- 
17013,54903.0,aka,VTB BANK,-0- 
17013,54907.0,fka,OAO BANK VTB,-0- 
17013,54908.0,fka,VTB BANK OPEN JOINT STOCK COMPANY,-0- 
17013,54909.0,fka,BANK VNESHEI TORGOVLI OAO,-0- 
17013,54912.0,fka,BANK VNESHNEI TORGOVLI ROSSISKOI FEDERATSII AS A PRIVATE JOINT STOCK COMPANY,-0- 
17013,54914.0,fka,OAO VNESHTORGBANK,-0- 
17013,54940.0,fka,BANK OF FOREIGN TRADE OF THE RUSSIAN FEDERATION,-0- 
17013,54941.0,fka,BANK FOR FOREIGN TRADE OF RSFSR,-0- 
17013,54942.0,fka,VNESHTORGBANK OF RSFSR,-0- 
17013,54943.0,fka,CJSC BANK FOR FOREIGN TRADE OF THE RUSSIAN FEDERATION,-0- 
17013,54944.0,fka,RUSSIAN VNESHTORGBANK,-0- 
17013,54945.0,fka,VNESHTORGBANK,-0- 
17013,54946.0,fka,OJSC CJSC BANK FOR FOREIGN TRADE,-0- 
17013,55124.0,aka,BANK VTB PAO,-0- 
17013,77196.0,aka,VTB BANK PJSC SHANGHAI BRANCH,-0- 
17014,26083.0,aka,RUSSIAN AGRICULTURAL BANK,-0- 
17014,26084.0,aka,RUSSIAN AGRICULTURAL BANK OPEN JOINT STOCK COMPANY,-0- 
17014,26085.0,aka,ROSSELKHOZBANK,-0- 
17014,26086.0,aka,RUSSIAN AGRICULTURAL BANK OJSC,-0- 
17015,55018.0,aka,GOSUDARSTVENNAYA KORPORATSIYA RAZVITIYA VEB.RF,-0- 
17015,55019.0,aka,STATE DEVELOPMENT CORPORATION VEB.RF,-0- 
17015,55020.0,aka,GK VEB.RF,-0- 
17015,55021.0,aka,VEB.RF,-0- 
17015,55023.0,fka,VNESHECONOMBANK,-0- 
17015,55024.0,fka,VNESHEKONOMBANK SSSR,-0- 
17015,55025.0,fka,VNESHEKONOMBANK GK,-0- 
17015,55026.0,fka,BANK FOR FOREIGN TRADE OF THE U.S.S.R.,-0- 
17016,26095.0,fka,GAZPROMBANK OPEN JOINT STOCK COMPANY,-0- 
17016,54916.0,aka,BANK GPB JSC,-0- 
17016,54917.0,aka,GAZPROMBANK AO,-0- 
17016,54918.0,fka,JOINT STOCK BANK OF THE GAS INDUSTRY GAZPROMBANK,-0- 
17017,26099.0,aka,JOINT STOCK COMMERCIAL BANK - BANK OF MOSCOW OPEN JOINT STOCK COMPANY,-0- 
17017,26100.0,fka,AKTSIONERNY KOMMERCHESKI BANK BANK MOSKVY OTKRYTOE AKTSIONERNOE OBSCHCHESTVO,-0- 
17017,59455.0,fka,BANK MOSKVY PAO,-0- 
17017,59456.0,fka,BANK OF MOSCOW,-0- 
17017,59457.0,aka,BM BANK PUBLIC JOINT STOCK COMPANY,-0- 
17017,59458.0,aka,PAO BM BANK,-0- 
17017,59459.0,aka,BM BANK AO,-0- 
17018,26102.0,aka,SBERBANK ROSSII,-0- 
17018,26103.0,fka,SBERBANK ROSSII OAO,-0- 
17018,26104.0,fka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO SBERBANK ROSSII,-0- 
17018,54948.0,aka,SBERBANK OF RUSSIA,-0- 
17018,54949.0,aka,PJSC SBERBANK,-0- 
17018,54950.0,fka,OPEN JOINT STOCK COMPANY SBERBANK OF RUSSIA,-0- 
17018,54951.0,fka,OJSC SBERBANK OF RUSSIA,-0- 
17018,54952.0,fka,JOINT STOCK COMMERCIAL SAVINGS BANK OF THE RUSSIAN FEDERATION,-0- 
17018,54953.0,fka,JOINT STOCK COMMERCIAL SAVINGS BANK OF THE RUSSIAN SOVIET FEDERATIVE SOCIALIST REPUBLIC,-0- 
17018,54954.0,fka,SBERBANK OF RSFSR,-0- 
17022,26109.0,aka,OJSC ROSNEFT OIL COMPANY,-0- 
17022,26110.0,aka,ROSNEFT OIL COMPANY,-0- 
17022,26111.0,aka,OAO ROSNEFT OIL COMPANY,-0- 
17022,26112.0,aka,OIL COMPANY ROSNEFT,-0- 
17022,26113.0,aka,ROSNEFT,-0- 
17064,26208.0,aka,FINANSOVO-INVESTITSIONNAYA KOMPANIYA NOVAFININVEST OAO,-0- 
17064,26220.0,aka,NOVATEK,-0- 
17143,26284.0,aka,PUBLICHNOE AKTSIONERNOE OBSHCHESTVO GAZPROM NEFT,-0- 
17143,26285.0,aka,GAZPROM NEFT PJSC,-0- 
17143,26286.0,aka,GAZPROM NEFT PAO,-0- 
17145,26292.0,aka,OPEN JOINT STOCK COMPANY SURGUTNEFTEGAS,-0- 
17145,26293.0,aka,SURGUTNEFTEGAZ OAO,-0- 
17145,26295.0,aka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO SURGUTNEFTEGAZ,-0- 
17145,26296.0,aka,SURGUTNEFTEGAS OJSC,-0- 
17145,26297.0,aka,SURGUTNEFTEGAS OAO,-0- 
17248,26538.0,aka,LUKOIL OIL COMPANY,-0- 
17248,26539.0,aka,LUKOIL,-0- 
17248,26540.0,aka,NK LUKOIL OAO,-0- 
17248,26541.0,aka,NEFTYANAYA KOMPANIYA LUKOIL OOO,-0- 
17250,26548.0,aka,GAZPROM PAO,-0- 
17250,26549.0,aka,PJSC GAZPROM,-0- 
17250,54934.0,aka,GAZPROM,-0- 
17254,26558.0,fka,AK TRANSNEFT OAO,-0- 
17254,26559.0,fka,AKTSIONERNAYA KOMPANIYA PO TRANSPORTU NEFTI TRANSNEFT PAO,-0- 
17254,26560.0,aka,OIL TRANSPORTING JOINT STOCK COMPANY TRANSNEFT,-0- 
17254,26561.0,aka,JSC TRANSNEFT,-0- 
17254,26562.0,aka,PJSC TRANSNEFT,-0- 
17254,26563.0,aka,PAO TRANSNEFT,-0- 
17254,55119.0,aka,PUBLICHNOE AKTSIONERNOE OBSHCHESTVO TRANSNEFT,-0- 
17260,59376.0,aka,"STATE CORPORATION FOR THE PROMOTION OF THE DEVELOPMENT, MANUFACTURE, AND EXPORT OF HIGH TECH PRODUCTS ROSTEC",-0- 
18267,28197.0,aka,ORENBURGNEFT,-0- 
18267,28198.0,aka,OAO JSC ORENBURGNEFT,-0- 
18268,28200.0,aka,"ROSEKSIMBANK, ZAO",-0- 
18268,28201.0,aka,RUSSIAN EXPORT-IMPORT BANK,-0- 
18268,28202.0,aka,GOSUDARSTVENNY SPETSIALIZIROVANNY ROSSISKI EKSPORTNO-IMPORTNY BANK (ZAKRYTOE AKTSIONERNOE OBSHCHESTVO),-0- 
18268,28203.0,aka,STATE SPECIALIZED RUSSIAN EXPORT-IMPORT BANK JOINT-STOCK COMPANY,-0- 
18268,54898.0,aka,EXIMBANK OF RUSSIA ZAO,-0- 
18268,54899.0,aka,EXIMBANK OF RUSSIA,-0- 
18268,54901.0,aka,AO ROSEKSIMBANK,-0- 
18269,28205.0,aka,SAMOTLORNEFTEGAZ JSC,-0- 
18269,28206.0,aka,SAMOTLORNEFTEGAZ,-0- 
18270,28208.0,aka,OJSC NORTH CAUCASUS DEVELOPMENT CORPORATION,-0- 
18270,28209.0,aka,OPEN JOINT-STOCK COMPANY NORTH CAUCASUS DEVELOPMENT CORPORATION,-0- 
18270,28212.0,aka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO KORPORATSIYA RAZVITIYA SEVERNOGO KAVKAZA,-0- 
18270,28213.0,fka,"KRSK, OAO",-0- 
18271,28211.0,aka,VERKHNECHONSKNEFTEGAZ,-0- 
18271,28214.0,aka,OJSC VERKHNECHONSKNEFTEGAZ,-0- 
18272,28216.0,aka,EKSAR OAO,-0- 
